genres,rating,no_of_votes,meta_score,release_date,gross,budget,countries,log_budget,log_no_of_votes,log_gross,log_gross_bin
"Gun Fu, One-Person Army Action, Action, Crime, Thriller",7.5,773000,68.0,2014.0,86085139.0,20000000.0,United States,16.811242881518265,13.558035621229783,18.270847364490976,6
"Action Epic, Cop Drama, Epic, Gangster, Heist, Action, Crime, Drama",8.3,749000,76.0,1995.0,187436818.0,60000000.0,United States,17.909855136853043,13.52649559761195,19.04895238125583,7
"Action Epic, Artificial Intelligence, Cyberpunk, Dystopian Sci-Fi, Gun Fu, Martial Arts, Sci-Fi Epic, Action, Sci-Fi",8.7,2100000,73.0,1999.0,467841735.0,63000000.0,"United States, Australia",17.958645300228824,14.557448378884015,19.963640625749065,9
"Action, Crime, Drama, Thriller",5.3,20000,38.0,2025.0,43395305.0,26000000.0,United States,17.073607134447293,9.90353755128617,17.58586183653925,4
"Action Epic, Epic, Superhero, Tragedy, Action, Crime, Drama, Thriller",9.0,3000000,84.0,2008.0,1009057329.0,185000000.0,"United States, United Kingdom",19.035866388448003,14.914123179965662,20.732282395336075,9
"Action Epic, Adventure Epic, Epic, Psychological Thriller, Sci-Fi Epic, Action, Adventure, Sci-Fi, Thriller",8.8,2700000,74.0,2010.0,839030630.0,160000000.0,"United States, United Kingdom",18.8906843794481,14.80876270134486,20.54775777270426,9
"Psychological Thriller, Superhero, Action, Adventure, Sci-Fi, Thriller",4.0,99000,26.0,2024.0,100498764.0,80000000.0,"United States, Mexico, Canada",18.197537205138154,11.502885230075814,18.425655996830685,6
"Action Epic, Adventure Epic, Epic, Period Drama, Sword & Sandal, Action, Adventure, Drama",6.6,214000,64.0,2024.0,462180717.0,250000000.0,"United States, United Kingdom, Morocco, Canada, Malta",19.33697147982652,12.273735966890268,19.95146653706329,9
"Dark Comedy, Gun Fu, Raunchy Comedy, Superhero, Action, Comedy, Sci-Fi",8.0,1200000,65.0,2016.0,782837347.0,58000000.0,United States,17.87595358575207,13.997832948091215,20.47843550312988,9
"Action Epic, Adventure Epic, Sci-Fi Epic, Superhero, Action, Adventure, Sci-Fi",5.9,73000,42.0,2025.0,373752940.0,180000000.0,"United States, Canada",19.00846741441004,11.19822841866684,19.739105551534532,9
"One-Person Army Action, Quest, Survival, Action, Adventure, Thriller",6.5,90000,62.0,2023.0,74515586.0,25000000.0,"United Kingdom, United States, Puerto Rico",17.034386422832473,11.407576060361786,18.126518882942538,6
"Action, Drama, Thriller",4.9,1200,52.0,2025.0,1035007.0,26000000.0,United Kingdom,17.073607134447293,7.0909098220799835,13.849919714120333,1
"Computer Animation, Superhero, Supernatural Fantasy, Teen Adventure, Urban Adventure, Action, Adventure, Animation, Family, Fantasy",8.5,442000,86.0,2023.0,690824738.0,150000000.0,United States,18.826145858727198,12.999067423500716,20.35339671569747,9
"Cop Drama, Heist, Action, Crime, Drama, Thriller",7.0,138000,49.0,2018.0,80509622.0,30000000.0,United States,17.216707972959764,11.835016210489899,18.20388727561708,6
"Disaster, Action, Adventure, Thriller",6.5,159000,65.0,2024.0,372262265.0,155000000.0,"Japan, United States",18.858935681335133,11.976665770490767,19.73510917995933,9
"Conspiracy Thriller, Martial Arts, One-Person Army Action, Action, Crime, Drama, Thriller",7.3,339000,51.0,2016.0,155560045.0,44000000.0,United States,17.599700214609808,12.733758336210744,18.862542362957615,7
"Animal Adventure, Fantasy Epic, Globetrotting Adventure, Superhero, Supernatural Fantasy, Action, Adventure, Comedy, Family, Fantasy",6.9,51000,56.0,2024.0,487910130.0,122000000.0,"United States, Japan",18.619531610894253,10.839600519357369,20.005641789071408,9
"Epic, Sword & Sandal, Tragedy, Action, Adventure, Drama",7.3,589000,56.0,2004.0,497409852.0,175000000.0,"United States, Bulgaria, United Kingdom, Malta",18.980296537602072,13.286183160425152,20.024924898144217,9
"Dystopian Sci-Fi, Superhero, Action, Drama, Mystery, Sci-Fi",7.6,596000,56.0,2009.0,185382813.0,130000000.0,United States,18.683045016112164,13.297997623898429,19.03793350992778,7
"Conspiracy Thriller, Political Thriller, Spy, Action, Thriller",7.3,266000,67.0,1998.0,250849789.0,90000000.0,United States,18.31532023940565,12.491255347155265,19.34036487174051,8
"Action Epic, Epic, Serial Killer, Superhero, Action, Crime, Drama, Mystery, Thriller",7.8,861000,72.0,2022.0,772319315.0,185000000.0,United States,19.035866388448003,13.66585094484938,20.464908644232807,9
"Artificial Intelligence, Cyber Thriller, Cyberpunk, Dystopian Sci-Fi, Action, Drama, Sci-Fi, Thriller",8.1,849000,84.0,1982.0,41759489.0,28000000.0,"United States, United Kingdom",17.147715103853763,13.651815643149092,17.547437288820404,4
"Action, Comedy, Drama, Romance",6.8,215000,73.0,2024.0,181073291.0,125000000.0,"Australia, United States, Canada",18.643824303266577,12.278397958261774,19.014412435445607,7
"Alien Invasion, Kaiju, Road Trip, Superhero, Action, Adventure, Sci-Fi, Thriller",6.0,105000,41.0,2024.0,478896999.0,120000000.0,"United States, United Kingdom, Canada",18.603002309079653,11.561725152903833,19.9869961009374,9
"Superhero, Action, Adventure, Fantasy, Sci-Fi",6.2,404000,52.0,2021.0,402064899.0,200000000.0,United States,19.11382792951231,12.90917263218775,19.81212407633888,9
"Action Epic, Adventure Epic, Globetrotting Adventure, Spy, Action, Adventure, Thriller",7.3,463000,68.0,2021.0,774153007.0,250000000.0,"United Kingdom, United States",19.33697147982652,13.045484492893253,20.467280096771468,9
"Action Epic, One-Person Army Action, Tragedy, Action",7.0,20000,64.81290322580645,2024.0,1983898.0,26000000.0,India,17.073607134447293,9.90353755128617,14.500574658273072,1
"Disaster, Survival, Action, Adventure, Drama, Thriller",7.1,51000,70.0,1972.0,84563118.0,5000000.0,United States,15.424948670398354,10.839600519357369,18.253008783898053,6
"Quest, Sword & Sorcery, Action, Adventure, Comedy, Fantasy",7.2,256000,72.0,2023.0,205460387.0,150000000.0,"United States, Canada, United Kingdom, Iceland, Ireland, Australia",18.826145858727198,12.45293662970407,19.14076381419605,8
"Artificial Intelligence, Cyberpunk, Dystopian Sci-Fi, Time Travel, Urban Adventure, Action, Adventure, Sci-Fi",8.1,958000,84.0,1984.0,78371200.0,6400000.0,"United Kingdom, United States",15.671808704579888,13.772604100793789,18.176967083653235,6
"Computer Animation, Fantasy Epic, Supernatural Fantasy, Action, Adventure, Animation, Family, Fantasy, Thriller",7.4,12000,54.0,2019.0,726225471.0,26000000.0,China,17.073607134447293,9.392745258631441,20.40337109206608,9
"Contemporary Western, Cop Drama, Drug Crime, Action, Crime, Drama, Mystery, Thriller",7.7,503000,82.0,2015.0,84997446.0,30000000.0,"United States, Mexico, Hong Kong",17.216707972959764,13.12834743715147,18.258131778709405,6
"Globetrotting Adventure, Spy, Action, Adventure, Thriller",8.0,714000,80.0,2006.0,616577552.0,150000000.0,"United States, United Kingdom, Czech Republic, Germany, Bahamas",18.826145858727198,13.478639641880966,20.239694668277505,9
"Caper, Car Action, Action, Crime, Drama, Music",7.5,645000,86.0,2017.0,226945087.0,34000000.0,"United Kingdom, United States",17.341871111992198,13.377007146164305,19.240218643098707,8
"Action, Drama, Thriller, War",7.4,129000,66.0,1995.0,157387195.0,53000000.0,United States,17.78580249038432,11.767575435251748,18.874219543751828,7
"Action Epic, Adventure Epic, Car Action, Desert Adventure, Dystopian Sci-Fi, Epic, Quest, Road Trip, Action, Adventure",8.1,1200000,90.0,2015.0,380437267.0,150000000.0,"Australia, United States",18.826145858727198,13.997832948091215,19.756831854394015,9
"Action Epic, Adventure Epic, Historical Epic, One-Person Army Action, Period Drama, Tragedy, Action, Adventure, Drama, Fantasy",7.0,276000,82.0,2022.0,69633110.0,70000000.0,"United Kingdom, China, United States",18.064005814299346,12.52815976788113,18.058750744938315,6
"Desert Adventure, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Drama, Sci-Fi",8.0,946000,74.0,2021.0,410668018.0,165000000.0,"United States, Canada",18.92145603792546,13.759998905115909,19.83329570640369,9
"Dark Comedy, Splatter Horror, Action, Comedy, Horror, Mystery, Thriller",6.8,211000,64.0,2019.0,57615777.0,6000000.0,"United States, Canada",15.607270193858982,12.259618151783465,17.86930701176701,5
"Period Drama, Swashbuckler, Action, Adventure, Drama, History, Romance, Thriller",7.6,32000,75.0,2024.0,77529938.0,26000000.0,"France, Belgium",17.073607134447293,10.373522431293592,18.166174729402623,6
"Action Epic, Adventure Epic, Spy, Action, Adventure, Thriller",7.6,281000,81.0,2023.0,571125435.0,291000000.0,United States,19.488833828572194,12.546113507028412,20.16311942125298,9
"Desert Adventure, Globetrotting Adventure, Quest, Supernatural Fantasy, Action, Adventure, Fantasy",7.1,479000,48.0,1999.0,417643286.0,80000000.0,United States,18.197537205138154,13.079457964073546,19.850138245769923,9
"Superhero, Urban Adventure, Action, Adventure, Sci-Fi",7.4,916000,73.0,2002.0,825802095.0,139000000.0,United States,18.749984498289212,13.727772735358728,20.531865709557874,9
"Desert Adventure, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Sci-Fi",6.3,187000,41.0,1984.0,31502161.0,40000000.0,"United States, Mexico",17.50439003707821,12.138869243416009,17.26556673636123,4
"High-Concept Comedy, Quirky Comedy, Supernatural Fantasy, Action, Comedy, Fantasy, Sci-Fi",7.8,468000,71.0,1984.0,296640120.0,30000000.0,United States,17.216707972959764,13.056225711649638,19.508030248243514,8
"Action Epic, Desert Adventure, Epic, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Drama, Sci-Fi",8.5,610000,79.0,2024.0,714644358.0,190000000.0,"United States, Canada, United Arab Emirates, Hungary, Italy, New Zealand, Jordan, Gambia",19.06253463538792,13.321215875492413,20.387295576913868,9
"Conspiracy Thriller, One-Person Army Action, Action, Thriller",7.0,377000,50.0,2012.0,218340595.0,60000000.0,United States,17.909855136853043,12.840003118946523,19.201566768500314,8
"Action Epic, Car Action, Desert Adventure, Dystopian Sci-Fi, Action, Adventure, Sci-Fi, Thriller",7.5,279000,79.0,2024.0,174175791.0,168000000.0,"Australia, United States",18.939474543319914,12.53897064502647,18.97557564602097,7
"Kung Fu, Martial Arts, One-Person Army Action, Action, Crime, Thriller",8.2,1200000,69.0,2003.0,180908413.0,30000000.0,United States,17.216707972959764,13.997832948091215,19.0135014611689,7
"Action Epic, Docudrama, Epic, Historical Epic, Tragedy, War Epic, Action, Drama, History, War",7.7,437000,74.0,2002.0,172989651.0,92000000.0,"United States, United Kingdom",18.33729914588288,12.987690762404629,18.968742335644162,7
"Action, Comedy",6.3,2500,64.81290322580645,2025.0,651053.0,26000000.0,India,17.073607134447293,7.824445930877619,13.386347867059358,1
"Docudrama, Motorsport, Period Drama, Action, Biography, Drama, Sport",8.1,515000,81.0,2019.0,226299480.0,97600000.0,United States,18.39638806162922,13.151924121391561,19.237369817185318,8
"Animal Adventure, Computer Animation, Superhero, Action, Adventure, Animation, Comedy, Crime, Family, Fantasy",6.3,6600,66.0,2025.0,121122700.0,40000000.0,United States,17.50439003707821,8.79497643168877,18.61231464760292,7
"Alien Invasion, Cyberpunk, Monster Horror, Space Sci-Fi, Survival, Tragedy, Action, Adventure, Horror, Sci-Fi",8.4,804000,84.0,1986.0,131060248.0,18500000.0,"United Kingdom, United States",16.733281344102608,13.597355791941425,18.691167691466998,7
"Drug Crime, Action, Crime, Drama, Mystery, Thriller",7.1,177000,61.0,2018.0,75837743.0,35000000.0,"United States, Mexico, Italy",17.370858648025116,12.083910661257521,18.144106668633153,6
"Alien Invasion, Kaiju, Survival, Action, Sci-Fi, Thriller",5.6,19000,50.0,2024.0,3606529.0,26000000.0,United States,17.073607134447293,9.852246888342531,15.098256649205423,1
"Action Epic, Epic, Historical Epic, Period Drama, War Epic, Action, Adventure, Drama, History, War",7.3,331000,63.0,2005.0,218237071.0,130000000.0,"United Kingdom, Germany, Spain, Morocco, United States, Italy, France",18.683045016112164,12.709876675502672,19.20109251610708,8
"Kaiju, One-Person Army Action, Superhero, Action, Sci-Fi, Thriller",5.9,284000,49.0,2021.0,506813864.0,110000000.0,United States,18.5159909328476,12.556733038263905,20.04365436396916,9
"Animal Adventure, Buddy Comedy, Road Trip, Slapstick, Superhero, Supernatural Fantasy, Action, Adventure, Comedy, Family",6.5,178000,47.0,2020.0,319715683.0,85000000.0,"United States, Japan, Canada, United Kingdom",18.258161826219297,12.08954444723597,19.582942671319078,8
"Action Epic, Adventure Epic, Computer Animation, Fantasy Epic, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Animation, Family",7.6,47000,64.0,2024.0,129408392.0,75000000.0,United States,18.132998684833918,10.757924157061597,18.678483798824143,7
"One-Person Army Action, Action, Comedy, Thriller",7.3,485000,49.0,2022.0,239268602.0,85900000.0,"United States, Japan",18.268694398595926,13.091906231773164,19.29309734076043,8
"Action Epic, Artificial Intelligence, Cyber Thriller, Cyberpunk, Dystopian Sci-Fi, Epic, Sci-Fi Epic, Action, Drama, Mystery",8.0,707000,81.0,2017.0,276605984.0,150000000.0,"United States, Canada, Spain",18.826145858727198,13.468787359304866,19.438104614704873,8
"Political Thriller, Spy, Steamy Romance, Action, Crime, Drama, Mystery, Romance, Thriller",7.1,51000,77.0,1987.0,35509515.0,15000000.0,United States,16.52356082573315,10.839600519357369,17.385311274862993,4
"Action Epic, Adventure Epic, Epic, Period Drama, Sword & Sandal, Action, Adventure, Drama",8.5,1700000,67.0,2000.0,465516248.0,103000000.0,"United States, United Kingdom, Malta, Morocco",18.450239555902648,14.346139397261565,19.95865756062427,9
"Action Epic, Gun Fu, One-Person Army Action, Action, Crime, Thriller",7.6,371000,78.0,2023.0,440180275.0,100000000.0,"United States, Germany",18.420680753952364,12.82396003700373,19.902694919146825,9
"One-Person Army Action, Superhero, Action, Thriller",5.4,42000,35.0,2024.0,61989190.0,110000000.0,"United Kingdom, Iceland, Canada, United States",18.5159909328476,10.645448706505872,17.942470589100928,5
"Kaiju, One-Person Army Action, Superhero, Urban Adventure, Action, Adventure, Sci-Fi",6.6,540000,61.0,2008.0,264770996.0,150000000.0,"United States, Canada, Japan",18.826145858727198,13.199326270390594,19.394375848082884,8
"Dystopian Sci-Fi, Teen Adventure, Action, Adventure, Drama, Sci-Fi, Thriller, War",6.7,154000,54.0,2023.0,348900019.0,100000000.0,"United States, Canada",18.420680753952364,11.944714374881176,19.670295963480015,8
"Sci-Fi Epic, Superhero, Action, Adventure, Sci-Fi",6.9,926000,66.0,2011.0,370569774.0,140000000.0,United States,18.757152987716434,13.738630593541341,19.730552311554884,9
"Dark Comedy, One-Person Army Action, Psychological Drama, Psychological Thriller, Action, Drama, Mystery, Thriller",8.3,672000,78.0,2003.0,17592355.0,3000000.0,South Korea,14.914123179965662,13.418015107599418,16.682975047483104,3
"Action Epic, Adventure Epic, Quest, Space Sci-Fi, Action, Adventure, Comedy, Sci-Fi, Thriller",4.7,45000,26.0,2024.0,32978510.0,115000000.0,"United States, Hungary",18.560442695023177,10.714439990727769,17.311366725501607,4
"Action Epic, One-Person Army Action, Action, Crime, Drama, Thriller",6.1,53000,64.81290322580645,2024.0,21899684.0,26000000.0,India,17.073607134447293,10.87806606028079,16.90198281112164,3
"Buddy Cop, Bumbling Detective, Slapstick, Action, Comedy, Crime, Thriller",7.4,391000,70.0,2016.0,71261763.0,50000000.0,United States,17.72753358339242,12.876465396508989,18.08187047225601,6
"Action Epic, Adventure Epic, Epic, Fantasy Epic, Quest, Sci-Fi Epic, Space Sci-Fi, Sword & Sorcery, Action, Adventure",8.6,1500000,90.0,1977.0,775398507.0,11000000.0,United States,16.213405921671733,14.220976332738882,20.46888765903108,9
"Action, Crime, Drama, Thriller",6.3,19000,60.0,2025.0,57053870.0,40000000.0,"United States, Canada, Spain",17.50439003707821,9.852246888342531,17.8595064847312,5
"Time Travel, Action, Sci-Fi, Thriller",7.3,625000,69.0,2020.0,365304105.0,205000000.0,"United States, United Kingdom",19.138520541980732,13.345508528717259,19.716240731778992,9
"Action, Adventure, Sci-Fi",5.6,213000,36.0,2016.0,240697856.0,125000000.0,"United States, France, United Kingdom, Hong Kong, Taiwan, Malta, Spain, Canada",18.643824303266577,12.269052139516223,19.299052999514664,8
"Dark Fantasy, Dark Romance, Serial Killer, Superhero, Supernatural Fantasy, Supernatural Horror, Tragic Romance, Action, Crime, Fantasy",4.7,32000,30.0,2024.0,24109036.0,50000000.0,"United States, United Kingdom, France, Czech Republic, Germany",17.72753358339242,10.373522431293592,16.998097307426846,3
"Caper, Dark Comedy, Drug Crime, Gangster, Action, Crime",7.8,429000,51.0,2020.0,115175729.0,22000000.0,"United States, United Kingdom",16.906553056777135,12.969214528909768,18.561969606947198,6
"One-Person Army Action, Political Thriller, Action, Crime, Thriller",6.3,152000,53.0,2024.0,162619535.0,40000000.0,"United Kingdom, United States",17.50439003707821,11.931642378754141,18.906923895462317,7
"High-Concept Comedy, Romantic Comedy, Teen Comedy, Teen Fantasy, Teen Romance, Action, Comedy, Fantasy, Romance",7.5,479000,69.0,2010.0,51824861.0,60000000.0,"United States, United Kingdom, Canada, Japan",17.909855136853043,13.079457964073546,17.763380553475045,5
"Action Epic, Artificial Intelligence, Cyberpunk, Dystopian Sci-Fi, Sci-Fi Epic, Time Travel, Action, Adventure, Sci-Fi",8.6,1200000,75.0,1991.0,517778573.0,102000000.0,"United States, France",18.440483381052466,13.997832948091215,20.065058245514805,9
"Serial Killer, Action, Crime, Drama, Mystery, Thriller",6.6,50000,43.0,2023.0,3138750.0,26000000.0,"United States, Canada",17.073607134447293,10.819798284210286,14.95933550805205,1
"Action Epic, Action, Drama",7.0,523000,50.0,1986.0,357288178.0,15000000.0,United States,16.52356082573315,13.167338655091122,19.69405323820341,8
"Action, Comedy, Crime",5.5,210000,37.0,2017.0,177856751.0,69000000.0,"United Kingdom, China, United States",18.049617077054286,12.25486757159303,18.99648902021499,7
"Body Horror, Folk Horror, Monster Horror, Superhero, Supernatural Horror, Witch Horror, Zombie Horror, Action, Horror, Mystery",4.5,12000,45.0,2024.0,2014050.0,20000000.0,"United States, United Kingdom, Germany, Bulgaria",16.811242881518265,9.392745258631441,14.515658674680843,1
"Action, Biography, Drama, History, War",5.8,1400,53.0,2025.0,102917.0,26000000.0,"United Kingdom, Italy, Switzerland, United States",17.073607134447293,7.244941546337007,11.54168783363788,0
"Action Epic, Gun Fu, Martial Arts, One-Person Army Action, Serial Killer, Superhero, Action, Crime",5.3,235000,42.0,2003.0,179179718.0,78000000.0,"United States, Switzerland",18.17221939747438,12.367345048436391,19.003899876877092,7
"Epic, Period Drama, War Epic, Action, Drama, War",8.2,720000,78.0,2020.0,446064352.0,95000000.0,"United Kingdom, United States, India, Spain, Canada",18.36938746009113,13.487007879880162,19.915973788813314,9
"Action Epic, Epic, Sword & Sandal, Action, Drama",7.6,887000,52.0,2007.0,456082343.0,65000000.0,"United States, Canada, Bulgaria",17.989897843244528,13.695601388686796,19.938183930123614,9
"One-Person Army Action, Road Trip, Action, Thriller",6.5,21000,64.81290322580645,2025.0,1144195.0,26000000.0,India,17.073607134447293,9.952325334619427,13.950212764918128,1
"Dystopian Sci-Fi, Teen Adventure, Action, Adventure, Sci-Fi, Thriller",7.2,1000000,68.0,2012.0,695220619.0,78000000.0,United States,18.17221939747438,13.815511557963774,20.359739792004934,9
"One-Person Army Action, Action, Crime, Drama, Thriller",7.4,346000,64.0,2021.0,57510518.0,16000000.0,"United States, Japan, China",16.588099342704055,12.754196944209095,17.86747842816669,5
"Action Epic, Epic, Superhero, Tragedy, Action, Drama",8.2,1600000,70.0,2005.0,375406308.0,150000000.0,"United States, United Kingdom",18.826145858727198,14.285514812209815,19.743519488048985,9
"Action, Drama, Thriller",5.4,3200,44.0,2024.0,20810966.0,5000000.0,United States,15.424948670398354,8.071218539969863,16.85099066533442,3
"Cop Drama, Drug Crime, Police Procedural, Action, Crime, Drama, Thriller",7.7,143000,94.0,1971.0,51703274.0,1800000.0,United States,14.403297778421795,11.870606902224587,17.761031683700608,5
"Sci-Fi Epic, Superhero, Action, Adventure, Sci-Fi",7.9,1200000,79.0,2008.0,585796247.0,140000000.0,"United States, Canada",18.757152987716434,13.997832948091215,20.188482587421042,9
"Kaiju, Superhero, Urban Adventure, Action, Adventure, Sci-Fi",6.6,572000,35.0,2018.0,856085161.0,100000000.0,"United States, China",18.420680753952364,13.256896018612155,20.567880417475138,9
"Animal Adventure, Globetrotting Adventure, Superhero, Supernatural Fantasy, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",6.5,104000,47.0,2022.0,405421518.0,110000000.0,"United States, Japan, United Kingdom",18.5159909328476,11.552155793461898,19.82043787148118,9
"Coming-of-Age, Martial Arts, Teen Drama, Action, Drama, Family, Sport",7.3,257000,61.0,1984.0,91133062.0,8000000.0,United States,15.894952224644102,12.456835254920371,18.327831227231943,6
"Alien Invasion, Dystopian Sci-Fi, Space Sci-Fi, Action, Adventure, Sci-Fi, Thriller",7.3,333000,52.0,1997.0,121214377.0,105000000.0,United States,18.46947091764561,12.715900771961074,18.6130712549265,7
"Action Epic, Car Action, Urban Adventure, Action, Adventure, Crime, Mystery, Thriller",5.7,132000,56.0,2023.0,704875015.0,340000000.0,"United States, China, Japan",19.644456178515657,11.790564777297387,20.37353106279068,9
"Sea Adventure, Supernatural Fantasy, Swashbuckler, Sword & Sandal, Action, Adventure, Fantasy",8.1,1300000,63.0,2003.0,654264546.0,140000000.0,United States,18.757152987716434,14.077875591662238,20.29902233374714,9
"Action, Comedy",7.0,21000,77.0,2024.0,12666564.0,26000000.0,"Switzerland, United States",17.073607134447293,9.952325334619427,16.35447640267455,2
"Gangster, One-Person Army Action, Action, Crime, Drama, Thriller",8.5,1300000,64.0,1994.0,20278989.0,16000000.0,"France, United States",16.588099342704055,14.077875591662238,16.825095932685716,3
"Dystopian Sci-Fi, Sci-Fi Epic, Action, Adventure, Drama, Sci-Fi, Thriller",6.9,149000,66.0,2024.0,397378150.0,160000000.0,United States,18.8906843794481,11.91170829631447,19.800398906701393,9
"Adventure Epic, Anime, Dark Fantasy, Fantasy Epic, Sword & Sorcery, Action, Adventure, Animation, Drama, Fantasy",6.3,27000,54.0,2024.0,20458572.0,30000000.0,"United States, New Zealand, Japan",17.216707972959764,10.203629181337648,16.833912570209847,3
"Political Thriller, Road Trip, Action, Adventure, Thriller",7.0,231000,75.0,2024.0,127337886.0,50000000.0,"United States, United Kingdom, Finland",17.72753358339242,12.35017731849889,18.662354639043407,7
"Space Sci-Fi, Superhero, Action, Adventure, Comedy, Sci-Fi",7.9,421000,64.0,2023.0,845555777.0,250000000.0,"United States, New Zealand, France, Canada",19.33697147982652,12.95039048795861,20.555504694558653,9
"Animal Adventure, Adventure, Comedy, Family, Fantasy",7.3,145000,77.0,2015.0,326088587.0,55000000.0,"United Kingdom, France",17.822843761378564,11.884495917930655,19.60267964474701,8
"Computer Animation, Superhero, Urban Adventure, Action, Adventure, Animation, Family",8.0,847000,90.0,2004.0,631688498.0,92000000.0,United States,18.33729914588288,13.649457154271039,20.263906949276087,9
"Adventure Epic, Dark Comedy, Martial Arts, Sci-Fi Epic, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",7.8,574000,81.0,2022.0,143412671.0,14300000.0,United States,16.475770165160203,13.260386417460465,18.781236850426392,7
"Animal Adventure, Artificial Intelligence, Buddy Comedy, Farce, Slapstick, Stop Motion Animation, Adventure, Animation, Comedy, Family",7.5,32000,83.0,2025.0,191452.0,26000000.0,United Kingdom,17.073607134447293,10.373522431293592,12.162397626670368,0
"Sword & Sorcery, Teen Adventure, Teen Fantasy, Adventure, Family, Fantasy, Mystery",7.4,724000,63.0,2002.0,882739136.0,100000000.0,"United Kingdom, United States",18.420680753952364,13.49254805258237,20.59854028683469,9
"Space Sci-Fi, Survival, Adventure, Drama, Sci-Fi",8.0,961000,80.0,2015.0,630621406.0,108000000.0,"United States, United Kingdom, Hungary, Jordan",18.497641794347754,13.775730728534615,20.262216251533616,9
"Globetrotting Adventure, Quest, Action, Adventure",6.3,279000,45.0,2022.0,407141258.0,120000000.0,"Spain, United States",18.603002309079653,12.53897064502647,19.824670756900794,9
"Adventure Epic, Dark Comedy, Desert Adventure, Epic, Period Drama, Quest, Spaghetti Western, Western Epic, Adventure, Western",8.8,846000,90.0,1967.0,25264999.0,1200000.0,"Italy, Spain, West Germany, United States",13.997832948091215,13.648275820620759,17.044930596708145,3
"Dark Romance, Drug Crime, Erotic Thriller, Action, Adventure, Crime, Mystery, Romance, Thriller",6.6,55000,77.0,2024.0,12778225.0,26000000.0,"United Kingdom, United States",17.073607134447293,10.915106645867503,16.363253186636946,2
